input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00604.dcm,dataset\bone_masks\mask00604.dcm,7518,253775,419,432,0.9456603773584905,0.9472092730250724,0.0016483473252712495,0.05433962264150943,0.3246307373046875,0.8983152108973592,0.9464341914773085
dataset\inputs\input00605.dcm,dataset\bone_masks\mask00605.dcm,7467,253946,412,319,0.9590290264577447,0.9477091001396116,0.0016197642692582896,0.04097097354225533,0.2788543701171875,0.9108319102220056,0.9533354612192787
dataset\inputs\input00606.dcm,dataset\bone_masks\mask00606.dcm,3556,258244,86,258,0.9323544834819087,0.9763866007688083,0.00033290752138737275,0.06764551651809124,0.1312255859375,0.9117948717948718,0.953862660944206
dataset\inputs\input00607.dcm,dataset\bone_masks\mask00607.dcm,7429,254040,341,334,0.9569753961097514,0.9561132561132561,0.0013405089216568847,0.04302460389024861,0.2574920654296875,0.9167077986179665,0.9565441318483229
dataset\inputs\input00608.dcm,dataset\bone_masks\mask00608.dcm,7490,253940,335,379,0.9518363197356716,0.9571884984025559,0.0013174712417658048,0.04816368026432838,0.272369384765625,0.9129692832764507,0.9545049063336307
dataset\inputs\input00609.dcm,dataset\bone_masks\mask00609.dcm,7558,253818,318,450,0.9438061938061938,0.9596241747079736,0.001251298517329304,0.05619380619380619,0.29296875,0.9077588277684363,0.9516494585746663
dataset\inputs\input00610.dcm,dataset\bone_masks\mask00610.dcm,7606,253706,335,497,0.9386646920893497,0.9578138773454224,0.0013186847792285498,0.06133530791065037,0.3173828125,0.901398435648258,0.9481426078284717
dataset\inputs\input00611.dcm,dataset\bone_masks\mask00611.dcm,7842,253352,334,616,0.9271695436273351,0.9591487279843445,0.0013165882232365996,0.07283045637266493,0.362396240234375,0.8919472247497725,0.9428880605987736
dataset\inputs\input00612.dcm,dataset\bone_masks\mask00612.dcm,8209,253069,378,488,0.9438886972519259,0.9559799697216723,0.0014914360793380865,0.05611130274807405,0.330352783203125,0.9045730027548209,0.9498958574404073
dataset\inputs\input00613.dcm,dataset\bone_masks\mask00613.dcm,8564,252702,543,335,0.9623553208225644,0.9403755353025145,0.002144168690398626,0.037644679177435664,0.334930419921875,0.9070112264350774,0.9512384760635344
dataset\inputs\input00614.dcm,dataset\bone_masks\mask00614.dcm,8771,252531,504,338,0.9628938412559007,0.9456603773584905,0.001991819313533701,0.03710615874409924,0.321197509765625,0.9124102777488817,0.9541993037423847
dataset\inputs\input00615.dcm,dataset\bone_masks\mask00615.dcm,9109,252362,383,290,0.9691456537929567,0.9596502317741256,0.001515361332568399,0.030854346207043304,0.2567291259765625,0.9312001635657331,0.9643745699010111
dataset\inputs\input00616.dcm,dataset\bone_masks\mask00616.dcm,9333,252214,357,240,0.9749294891883422,0.9631578947368421,0.001413463936873196,0.025070510811657787,0.2277374267578125,0.9398791540785497,0.9690079426880548
dataset\inputs\input00617.dcm,dataset\bone_masks\mask00617.dcm,3624,258067,57,396,0.9014925373134328,0.9845150774246129,0.00022082410004493964,0.09850746268656717,0.1728057861328125,0.8888888888888888,0.9411764705882353
dataset\inputs\input00618.dcm,dataset\bone_masks\mask00618.dcm,9072,252273,435,364,0.9614243323442137,0.954244241085516,0.001721354290327176,0.03857566765578635,0.3047943115234375,0.9190558200790194,0.957820830913794
dataset\inputs\input00619.dcm,dataset\bone_masks\mask00619.dcm,9141,252169,538,296,0.968634099819858,0.9444157454282467,0.0021289477537226906,0.031365900180141994,0.318145751953125,0.9163909774436091,0.9563716258631513
dataset\inputs\input00620.dcm,dataset\bone_masks\mask00620.dcm,9265,251988,555,336,0.9650036454535986,0.9434826883910387,0.0021976455494707834,0.03499635454640142,0.3398895263671875,0.9122686096888538,0.9541218268884197
dataset\inputs\input00621.dcm,dataset\bone_masks\mask00621.dcm,9358,251844,554,388,0.9601887954032423,0.9441081517352704,0.0021949460772272365,0.039811204596757646,0.359344482421875,0.9085436893203883,0.9520805778817784
dataset\inputs\input00622.dcm,dataset\bone_masks\mask00622.dcm,9222,252019,500,403,0.9581298701298702,0.948570253034355,0.001980049026013884,0.04187012987012987,0.3444671630859375,0.9108148148148149,0.953326097069313
